Product Name,Price,Currency,SKU,Brand,Category,Rating,Availability,Reviews,Product Description,Overview,Product Url,Image,Image URLs
Arregui 6 - Piece Corduroy Sectional,1049.99,USD,W009874748,Wade Logan®,Sectionals,4.5,In Stock,185,"This compact modular sectional has a low profile and rounded edges that lend ultra-modern appeal. We love how easily you can configure the modular components to suit and fit your space. What’s more, it includes an ottoman that does double duty as a footrest or an extra surface. The frame is made from engineered wood, and it stands on low black plastic legs that are just barely visible. It’s wrapped in foam padding and super soft, durable corduroy in a warm neutral hue that makes it even more inviting. This sectional is just the living room or rec room essential you need to host gatherings with family and friends. Full assembly is required.",Seat Height - Floor to Seat: 20 '' | With Ottoman | Seating Capacity: 6 | Assembly Required | Warranty Length: 30 Days | Removable Seat Cushions | Removable Back Cushions,https://www.wayfair.com/furniture/pdp/wade-logan-arregui-1085-wide-symmetrical-modular-corner-sectional-with-ottoman-w009874748.html?piid=380155855,https://assets.wfcdn.com/im/42958679/compr-r85/2837/283784340/arregui-6-piece-corduroy-sectional.jpg,"https://assets.wfcdn.com/im/68156466/resize-h800-w800%5Ecompr-r85/2837/283784340/Arregui+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/45454640/resize-h800-w800%5Ecompr-r85/2837/283784342/Arregui+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/64308326/resize-h800-w800%5Ecompr-r85/2220/222092712/Arregui+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/53490435/resize-h800-w800%5Ecompr-r85/2220/222092962/Arregui+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/52957413/resize-h800-w800%5Ecompr-r85/2220/222092711/Arregui+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/41606500/resize-h800-w800%5Ecompr-r85/2220/222092710/Arregui+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/22909256/resize-h800-w800%5Ecompr-r85/2837/283784339/Arregui+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/34260169/resize-h800-w800%5Ecompr-r85/2837/283784338/Arregui+6+-+Piece+Corduroy+Sectional.jpg | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kustas 2 - Piece Upholstered Sectional No Assembly Required,659.99,USD,W110669879,Latitude Run®,Sectionals,4,In Stock,78,"This L-shaped corduroy sectional brings a modern vibe and extra seating space to your living room or family den. With its cushioned back and square arms, it includes a loveseat and a chaise that can be rearranged to suit your needs. The corduroy upholstery adds a textured feel and plenty of warmth, while the foam and cotton fill provide endless comfort. Whether you're lounging or entertaining, this sectional seats three and comes with two accent pillows. Plus, the removable back cushions and covers make it easy to keep clean. Added bonus: The modular design allows for flexible configurations",Seat Height - Floor to Seat: 16.53 '' | Seating Capacity: 3 | Fully Assembled | Warranty Length: 1 Year | Reversible Cushions | Removable Back Cushions,https://www.wayfair.com/furniture/pdp/latitude-run-kustas-2-piece-upholstered-sectional-no-assembly-required-w110669879.html?piid=232863139%2C232863138,https://assets.wfcdn.com/im/57995828/compr-r85/2765/276577374/kustas-2-piece-upholstered-sectional-no-assembly-required.jpg,"https://assets.wfcdn.com/im/83193615/resize-h800-w800%5Ecompr-r85/2765/276577374/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | https://assets.wfcdn.com/im/87429766/resize-h800-w800%5Ecompr-r85/2946/294647195/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | https://assets.wfcdn.com/im/66082893/resize-h800-w800%5Ecompr-r85/2946/294647208/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | https://assets.wfcdn.com/im/98013291/resize-h800-w800%5Ecompr-r85/2768/276876545/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | https://assets.wfcdn.com/im/59664684/resize-h800-w800%5Ecompr-r85/2768/276876489/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | https://assets.wfcdn.com/im/82366510/resize-h800-w800%5Ecompr-r85/2768/276876487/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | https://assets.wfcdn.com/im/16419249/resize-h800-w800%5Ecompr-r85/2768/276876484/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | https://assets.wfcdn.com/im/55846221/resize-h800-w800%5Ecompr-r85/2768/276876482/Kustas+2+-+Piece+Upholstered+Sectional+No+Assembly+Required.jpg | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Annai 129"" Wide Reversible Modular Corner Sectional with Ottoman",959.99,USD,W009261237,Wade Logan®,Sectionals,4.5,In Stock,931,"Complete the look in your living room or den with this 3-piece, L-shaped sectional. It has an easy-to-arrange design that’s configurable to your room’s layout and comfortably accommodates six people. The engineered wood frame stands on barely visible black legs, and the cushioned back, rounded arms and plump seats are filled with foam and wrapped in super soft corduroy that feels soft and looks inviting. We love that the cushions are removable, making it a breeze to vacuum up those inevitable crumbs. Full assembly is required.",Seat Height - Floor to Seat: 20 '' | With Ottoman | Seating Capacity: 6 | Assembly Required | Warranty Length: 30 Days | Removable Seat Cushions | Removable Back Cushions,https://www.wayfair.com/furniture/pdp/wade-logan-annai-129-wide-reversible-modular-corner-sectional-with-ottoman-w009261237.html?piid=1408252024,https://assets.wfcdn.com/im/49064156/compr-r85/2763/276310805/annai-129-wide-reversible-modular-corner-sectional-with-ottoman.jpg,"https://assets.wfcdn.com/im/71100927/resize-h800-w800%5Ecompr-r85/2763/276310805/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/59750014/resize-h800-w800%5Ecompr-r85/2763/276310806/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/65545227/resize-h800-w800%5Ecompr-r85/2264/226456164/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/61160149/resize-h800-w800%5Ecompr-r85/2264/226456153/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/19603605/resize-h800-w800%5Ecompr-r85/2264/226456131/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/12515456/resize-h800-w800%5Ecompr-r85/2763/276310804/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/01164543/resize-h800-w800%5Ecompr-r85/2763/276310803/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/75898180/resize-h800-w800%5Ecompr-r85/2275/227558536/Annai+129%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Wayfair,N/A,N/A,N/A,N/A,Sectionals,N/A,Out of Stock,N/A,N/A,,https://www.wayfair.com/furniture/pdp/latitude-run-120-comfy-cloud-couch-u-shaped-sectional-sofa-with-two-ottomans-w111108569.html?piid=1656913612,N/A,
"Kettner 136.35"" Wide Reversible Modular Corner Sectional with Ottoman",930,USD,W003629308,Three Posts™,Sectionals,4.5,In Stock,575,"Create a warm and welcoming place to entertain with this 7-piece modular sectional. Plus, it is reversible, which allows you to configure it in the way that best suits your space. We love the traditional design elements, like the rolled arms and the nailhead trim, that give this sofa timeless, classic appeal. The frame is made from a blend of kiln-dried solid and engineered wood and has hand-tied spring construction designed for support and comfort. The removable back cushions are wrapped in foam and covered with easy-care polyester in a neutral hue. Six throw pillows and an ottoman complete this sectional.",Seat Height - Floor to Seat: 18.1 '' | With Ottoman | Built-in USB Port | Seating Capacity: 6 | Assembly Required | Warranty Length: 30 Days | Removable Back Cushions,https://www.wayfair.com/furniture/pdp/three-posts-kettner-13635-wide-reversible-modular-corner-sectional-with-ottoman-w003629308.html?piid=52169146,https://assets.wfcdn.com/im/43224662/compr-r85/2559/255953362/kettner-13635-wide-reversible-modular-corner-sectional-with-ottoman.jpg,https://assets.wfcdn.com/im/31577551/resize-h800-w800%5Ecompr-r85/2559/255953362/Kettner+136.35%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/92557771/resize-h800-w800%5Ecompr-r85/2559/255952983/Kettner+136.35%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/53641494/resize-h800-w800%5Ecompr-r85/2559/255952896/Kettner+136.35%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/30939668/resize-h800-w800%5Ecompr-r85/2559/255952894/Kettner+136.35%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/42120122/resize-h800-w800%5Ecompr-r85/2554/255498578/Kettner+136.35%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg | https://assets.wfcdn.com/im/41494968/resize-h800-w800%5Ecompr-r85/2559/255952986/Kettner+136.35%22+Wide+Reversible+Modular+Corner+Sectional+with+Ottoman.jpg
Wayfair,N/A,N/A,N/A,N/A,Sectionals,N/A,Out of Stock,N/A,N/A,,https://www.wayfair.com/furniture/pdp/wade-logan-bahos-2-piece-upholstered-sectional-w110350852.html?piid=1117624551,N/A,
6 - Piece Upholstered Sectional,649.99,USD,W008761085,Wade Logan®,Sectionals,4,In Stock,967,"This 6-piece sectional seats up to five, so there's plenty of room for family and friends. This set has both a reversible and modular design, allowing you to arrange (and re-arrange) it to suit your space and needs. It's built with an engineered wood frame that rests on resin feet with a black finish. This sectional is wrapped in neutral-hued polyester upholstery, and the cushions are filled with cotton for extra support. Plus, the seat and back cushions are removable for fuss-free upkeep.",Seat Height - Floor to Seat: 19.5 '' | With Ottoman | Seating Capacity: 5 | Assembly Required | Warranty Length: 30 Days,https://www.wayfair.com/furniture/pdp/wade-logan-124-wide-reversible-facing-modular-corner-sectional-w008761085.html?piid=227396120,https://assets.wfcdn.com/im/36407502/compr-r85/2871/287151372/6-piece-upholstered-sectional.jpg,https://assets.wfcdn.com/im/61605289/resize-h800-w800%5Ecompr-r85/2871/287151372/6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/87892221/resize-h800-w800%5Ecompr-r85/1891/189134811/6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/21788518/resize-h800-w800%5Ecompr-r85/1891/189134809/6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/99086692/resize-h800-w800%5Ecompr-r85/1891/189134807/6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/24887297/resize-h800-w800%5Ecompr-r85/2026/202682008/6+-+Piece+Upholstered+Sectional.jpg
U-Shaped Sectional Sofa Bed Pull Out Sleeper Couch With Storage Chaise,1293,USD,W110174988,HONBAY,Sectionals,4.5,In Stock,221,"Do you have a large family and need a sofa bed that can accommodate everyone? Look no further, as our extra-large storage sofa bed is the perfect solution for you! This spacious sofa bed is designed to comfortably seat multiple people, with a convenient pull-out sleeper function for accommodating overnight guests. Plus, it comes with hidden storage compartments, allowing you to keep pillows and blankets neatly organized. Its modern and beautiful appearance adds a stylish touch to your living room, making it stand out as a highlight of your home decor.",Seat Height - Floor to Seat: 18.2 '' | Storage Included | Seating Capacity: 6 | Assembly Required | Warranty Length: 1 Year | Assembly Tools Included | Removable Seat Cushions | Removable Back Cushions,https://www.wayfair.com/furniture/pdp/honbay-u-shaped-sectional-sofa-bed-pull-out-sleeper-couch-with-storage-chaise-w110174988.html?piid=2083405014,https://assets.wfcdn.com/im/37208599/compr-r85/2526/252643472/u-shaped-sectional-sofa-bed-pull-out-sleeper-couch-with-storage-chaise.jpg,"https://assets.wfcdn.com/im/62406386/resize-h800-w800%5Ecompr-r85/2526/252643472/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | https://assets.wfcdn.com/im/66711314/resize-h800-w800%5Ecompr-r85/2526/252643630/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | https://assets.wfcdn.com/im/43551668/resize-h800-w800%5Ecompr-r85/2526/252643492/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | https://assets.wfcdn.com/im/95025313/resize-h800-w800%5Ecompr-r85/2940/294094327/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | https://assets.wfcdn.com/im/53671510/resize-h800-w800%5Ecompr-r85/2526/252643656/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | https://assets.wfcdn.com/im/30969684/resize-h800-w800%5Ecompr-r85/2526/252643654/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | https://assets.wfcdn.com/im/41148404/resize-h800-w800%5Ecompr-r85/2526/252643500/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | https://assets.wfcdn.com/im/26517374/resize-h800-w800%5Ecompr-r85/2526/252643708/U-Shaped+Sectional+Sofa+Bed+Pull+Out+Sleeper+Couch+With+Storage+Chaise.jpg | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Andreco 6 - Piece Corduroy Sectional,1139.99,USD,W011118263,Wade Logan®,Sectionals,4.5,In Stock,841,"This oversized sofa-and-ottoman sectional set features a modular design, so you can tailor the look of your living room or family den. Its spacious, L-shaped frame is made from engineered wood, and it's wrapped in corduroy for a tactile feel. The cushions are filled with foam and sinuous springs, giving you the right amount of padding while you relax during movie or game nights. We love that the Ottomans let you kick up your feet after a long day. Plus, the cushions are removable, so it's a cinch to vacuum up any crumbs. This sectional arrives with four matching toss pillows for extra texture and visual interest.",Seat Height - Floor to Seat: 17.5 '' | With Ottoman | Seating Capacity: 6 | Assembly Required | Warranty Length: 30 Days | Removable Seat Cushions | Removable Back Cushions,https://www.wayfair.com/furniture/pdp/wade-logan-andreco-144-wide-reversible-modular-corner-sectional-with-ottoman-w011118263.html?piid=291824919,https://assets.wfcdn.com/im/15586080/compr-r85/2946/294616064/andreco-6-piece-corduroy-sectional.jpg,"https://assets.wfcdn.com/im/40783867/resize-h800-w800%5Ecompr-r85/2946/294616064/Andreco+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/54026987/resize-h800-w800%5Ecompr-r85/2946/294616059/Andreco+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/52134780/resize-h800-w800%5Ecompr-r85/2946/294616063/Andreco+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/38832847/resize-h800-w800%5Ecompr-r85/2946/294620696/Andreco+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/32986407/resize-h800-w800%5Ecompr-r85/2363/236367421/Andreco+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/72885586/resize-h800-w800%5Ecompr-r85/2946/294620693/Andreco+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/84236499/resize-h800-w800%5Ecompr-r85/2946/294620692/Andreco+6+-+Piece+Corduroy+Sectional.jpg | https://assets.wfcdn.com/im/74836606/resize-h800-w800%5Ecompr-r85/2946/294616061/Andreco+6+-+Piece+Corduroy+Sectional.jpg | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nyhan 6 - Piece Upholstered Sectional,900,USD,CAOM1216,Latitude Run®,Sectionals,4.5,In Stock,5,"This versatile sectional is a perfect blend of comfort and functionality, designed to enhance your living space with both style and practicality. The centerpiece of this sectional is the pull-out loveseat situated in the middle, which seamlessly transforms into a sleeper for those cozy movie nights or unexpected guests.The loveseat, clad in luxurious Chenille material, offers a tactile and inviting feel. Chenille not only adds a touch of elegance but also ensures durability and easy maintenance. The removable back cushions provide customizable comfort, allowing you to create your ideal lounging experience.One of the standout features of this sectional is the chaise, which not only offers an additional seating option but also comes equipped with storage space. This clever design allows you to keep your living room organized and clutter-free by conveniently stowing away blankets, pillows, or other essentials.To complement your personal style, the sectional is available in three sophisticated colors: Dark Gray, Light Gray, and Beige. Whether you prefer a timeless and classic look or a modern and trendy aesthetic, there's a color option to suit every taste and decor.To add a finishing touch to the overall design, the sectional comes with two toss pillows that effortlessly enhance the visual appeal and provide extra coziness. Elevate your living space with this sectional that seamlessly combines style, comfort, and functionality, making it a versatile and welcoming addition to your home.",Seat Height - Floor to Seat: 18.5 '' | Seating Capacity: 5 | Assembly Required | Warranty Length: 90 Days,https://www.wayfair.com/furniture/pdp/latitude-run-nyhan-upholstered-corner-sectional-caom1216.html?piid=94394365,https://assets.wfcdn.com/im/87058508/compr-r85/2675/267582000/nyhan-6-piece-upholstered-sectional.jpg,"https://assets.wfcdn.com/im/16409691/resize-h800-w800%5Ecompr-r85/2675/267581991/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/44498270/resize-h800-w800%5Ecompr-r85/2675/267582005/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/84686685/resize-h800-w800%5Ecompr-r85/2639/263930829/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/33147357/resize-h800-w800%5Ecompr-r85/2675/267582004/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/61813343/resize-h800-w800%5Ecompr-r85/2675/267581995/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/12256295/resize-h800-w800%5Ecompr-r85/2675/267582000/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/39111517/resize-h800-w800%5Ecompr-r85/2675/267581993/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | https://assets.wfcdn.com/im/05058778/resize-h800-w800%5Ecompr-r85/2675/267581990/Nyhan+6+-+Piece+Upholstered+Sectional.jpg | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7 | data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
